NUMBER_05B,ALPHA_J2000_05B,DELTA_J2000_05B
3996,34.50230419275637,-5.538434194232653
4088,34.4993153366338,-5.53815651458067
4108,34.51326826591419,-5.538102500202881
4146,34.50270691521068,-5.538004482501348
4411,34.49455631257979,-5.537055298728973
4454,34.517554835149504,-5.536914526702482
4475,34.50888501107175,-5.536813704471308
4491,34.510169542704205,-5.536766948034862
4607,34.45676062423978,-5.53634372436618
4777,34.50563318272397,-5.535781019617325
4811,34.52374984037008,-5.535623463056821
4855,34.459734777955575,-5.535463607713877
4889,34.51120918791762,-5.535366264684324
5005,34.516402036864754,-5.534969644026757
5047,34.505519598285346,-5.534779795386188
5049,34.533107364744275,-5.53476408234165
5089,34.50944357859958,-5.5346153422874504
5106,34.49543767970745,-5.534563425938419
5109,34.51618722655364,-5.534556817942792
5159,34.49902698766523,-5.534383176347671
5214,34.49003765422533,-5.534210888624241
5265,34.49561975215971,-5.534085728405304
5298,34.50575422806601,-5.536655080137816
5326,34.5252351754397,-5.533849304730687
5372,34.5262210039175,-5.533706643213424
5432,34.498270842833385,-5.533508011752499
5475,34.51459736994061,-5.53336428877999
5452,34.50655279133936,-5.536355514944467
5578,34.495856397624785,-5.532992963508255
5609,34.49743434123348,-5.532921689734331
5617,34.52494305220645,-5.532921798331971
5627,34.50606881268947,-5.532887326404358
5645,34.53623777601947,-5.532850077970484
5674,34.530748527143906,-5.5327133653123335
5730,34.51365611415023,-5.532539571465958
5745,34.453026954973325,-5.5325278189881715
5828,34.5285286267324,-5.532198711450376
5888,34.462999776907246,-5.532013538696981
5953,34.503289768651314,-5.531843438144327
6105,34.49097762049584,-5.53138415134961
6166,34.45144378768166,-5.531223514784076
6231,34.51644992399967,-5.530992773432534
6282,34.502923238860944,-5.530818873438967
6306,34.539709615122284,-5.53080363887938
6467,34.50040322244196,-5.530227855942626
6463,34.50300839101502,-5.530227734562283
6537,34.48684096010483,-5.530003960818694
6663,34.452168037703466,-5.530948597789007
6698,34.45679877054685,-5.5294829684755635
6700,34.45427065908939,-5.529486322752248
6762,34.5310764745409,-5.529309769310142
6761,34.533281161508654,-5.529283420055427
6778,34.49686692542431,-5.529260828261023
6843,34.50291583587628,-5.529066144050902
6847,34.51263586157966,-5.529031251861387
6862,34.54459075125375,-5.52901168066381
6935,34.52030546469981,-5.528735629242579
6941,34.54180569090597,-5.528745097766374
7023,34.53122845674521,-5.528442041540197
7034,34.49808673670575,-5.528432024404317
7053,34.52964091498711,-5.528382098036757
7089,34.5342883493635,-5.528293894037791
7116,34.46184590622922,-5.528238822862689
7145,34.50931697652228,-5.530582882606231
7158,34.507973397158,-5.531709143412521
7209,34.50083479698464,-5.527916153166473
7228,34.455961719551176,-5.527890187612856
7259,34.467272109187164,-5.527728940247769
7414,34.45767910028249,-5.527240079354257
7433,34.54310848862992,-5.5271656319803295
7450,34.5221240293026,-5.527127165535542
7445,34.48634176257223,-5.527148295716441
7593,34.47158622404685,-5.526683339797356
7607,34.453476989038485,-5.526648176603054
7619,34.48539921366505,-5.526611864579061
7644,34.53777057229962,-5.526531614900086
7654,34.50579662577717,-5.52652523624814
7703,34.528445854181,-5.526345064963159
7745,34.46818583962808,-5.5261595280339515
7789,34.508887381485685,-5.526354698327393
7801,34.54865494908094,-5.525979802235116
7815,34.50787851968596,-5.5259487651639505
7868,34.493349696418136,-5.525822399759299
7921,34.46390361602236,-5.525680344256808
7928,34.50304630125438,-5.525658757910558
7977,34.547766210897656,-5.525502777272218
8022,34.545422700428524,-5.525382276423157
8040,34.491812620258216,-5.525325788212553
7996,34.46952897541767,-5.526522346246459
7984,34.46744866985987,-5.529058603403979
8143,34.53903691880343,-5.524996126399329
